# warp-vs-block sweep  Sun 21 Jun 2026 09:47:11 PM EDT
NVIDIA GeForce RTX 5090, 3090 MHz, 420 MHz, 31

################ NPROB=1  reps=3000 ################
# warp-per-problem vs one-block-per-problem | NPROB=1 reps=3000 | ns/problem (lower=better)
gemv  N=4   | BLOCK  tb32=1.71  tb64=1.70  tb128=1.70  tb256=1.74  | WARP  w1=1.71  w2=1.70  w4=1.70  w8=1.70  w16=1.70  w32=1.70  || block tb128=1.70  warp w8=1.70  -> WARP (1.00x)
gemv  N=6   | BLOCK  tb32=1.70  tb64=1.75  tb128=1.71  tb256=1.71  | WARP  w1=1.71  w2=1.70  w4=1.71  w8=1.70  w16=1.70  w32=1.73  || block tb32=1.70  warp w8=1.70  -> WARP (1.00x)
gemv  N=8   | BLOCK  tb32=1.71  tb64=1.74  tb128=1.71  tb256=1.71  | WARP  w1=1.70  w2=1.70  w4=1.70  w8=1.73  w16=1.71  w32=1.71  || block tb256=1.71  warp w1=1.70  -> WARP (1.00x)
gemv  N=12  | BLOCK  tb32=1.70  tb64=1.70  tb128=1.70  tb256=1.78  | WARP  w1=1.72  w2=1.72  w4=1.71  w8=1.71  w16=1.72  w32=1.71  || block tb128=1.70  warp w32=1.71  -> BLOCK (1.00x)
gemv  N=16  | BLOCK  tb32=1.76  tb64=1.77  tb128=1.77  tb256=2.20  | WARP  w1=1.80  w2=1.70  w4=1.71  w8=1.71  w16=1.73  w32=1.77  || block tb32=1.76  warp w2=1.70  -> WARP (1.04x)
gemv  N=24  | BLOCK  tb32=2.03  tb64=2.04  tb128=2.03  tb256=2.70  | WARP  w1=2.15  w2=2.06  w4=2.05  w8=2.04  w16=2.08  w32=2.18  || block tb32=2.03  warp w8=2.04  -> BLOCK (1.01x)
gemv  N=32  | BLOCK  tb32=2.40  tb64=2.41  tb128=2.40  tb256=3.39  | WARP  w1=2.42  w2=2.36  w4=2.34  w8=2.36  w16=2.41  w32=2.56  || block tb32=2.40  warp w4=2.34  -> WARP (1.02x)

gemm  N=4   | BLOCK  tb32=1.73  tb64=1.71  tb128=1.71  tb256=1.71  | WARP  w1=1.70  w2=1.71  w4=1.69  w8=1.70  w16=1.70  w32=1.72  || block tb128=1.71  warp w4=1.69  -> WARP (1.01x)
gemm  N=6   | BLOCK  tb32=1.71  tb64=1.71  tb128=1.73  tb256=1.71  | WARP  w1=1.71  w2=1.71  w4=1.71  w8=1.71  w16=1.71  w32=1.72  || block tb256=1.71  warp w1=1.71  -> WARP (1.00x)
gemm  N=8   | BLOCK  tb32=1.76  tb64=1.70  tb128=1.70  tb256=1.70  | WARP  w1=1.71  w2=1.72  w4=1.71  w8=1.71  w16=1.71  w32=1.75  || block tb64=1.70  warp w1=1.71  -> BLOCK (1.01x)
