# mega sweep  Tue 23 Jun 2026 09:19:43 AM EDT
NVIDIA GeForce RTX 5090, 3090 MHz, 180 MHz, 28

################ NPROB=1  reps=3000  dtype=f32 (3-way) ################
# mega sweep | NPROB=1 reps=3000 dtype=f32 | ns/problem (lower=better) | optin_smem=99KB
# contenders: BLOCK(SIMT, TB swept) | WARP(WPB swept) | NV(cuBLASDx/cuSOLVERDx, forced; f32<=128, f64<=64)
dot   N=32  | BLOCK  tb32=1324.90  tb64=1326.96  tb128=1325.18  tb256=1323.76  | WARP  w1=1315.94  || block tb256=1323.76  warp w1=1315.94  nv=1341.59  -> WARP (1.02x)
dot   N=48  | BLOCK  tb32=1411.65  tb64=1326.37  tb128=1323.11  tb256=1325.89  | WARP  w1=1312.60  || block tb128=1323.11  warp w1=1312.60  nv=1338.63  -> WARP (1.02x)
dot   N=64  | BLOCK  tb32=1457.15  tb64=1326.03  tb128=1324.69  tb256=1329.99  | WARP  w1=1306.31  || block tb128=1324.69  warp w1=1306.31  nv=1340.90  -> WARP (1.03x)
dot   N=96  | BLOCK  tb32=1687.47  tb64=1502.00  tb128=1364.88  tb256=1370.29  | WARP  w1=1322.37  || block tb128=1364.88  warp w1=1322.37  -> WARP (1.03x)
dot   N=128 | BLOCK  tb32=1868.86  tb64=1547.89  tb128=1404.25  tb256=1409.24  | WARP  w1=1462.24  || block tb128=1404.25  warp w1=1462.24  -> BLOCK (1.04x)

gemv  N=4   | BLOCK  tb32=1341.99  tb64=1338.63  tb128=1339.74  tb256=1339.84  | WARP  w1=1345.19  || block tb64=1338.63  warp w1=1345.19  nv=1453.90  -> BLOCK (1.09x)
gemv  N=6   | BLOCK  tb32=1323.61  tb64=1319.75  tb128=1321.18  tb256=1319.39  | WARP  w1=1322.00  || block tb256=1319.39  warp w1=1322.00  nv=1530.62  -> BLOCK (1.16x)
gemv  N=8   | BLOCK  tb32=1319.23  tb64=1322.13  tb128=1324.81  tb256=1323.79  | WARP  w1=1327.51  || block tb32=1319.23  warp w1=1327.51  nv=1428.82  -> BLOCK (1.08x)
gemv  N=12  | BLOCK  tb32=1391.27  tb64=1392.08  tb128=1389.32  tb256=1388.98  | WARP  w1=1384.76  || block tb256=1388.98  warp w1=1384.76  nv=2043.42  -> WARP (1.48x)
